Gene_Name,domains,name
GTF2B,"['IPR013137', 'IPR013150', 'IPR013763']","['Zinc finger, TFIIB-type', 'Transcription factor TFIIB, cyclin-like domain', 'Cyclin-like']"
MYOC,['IPR003112'],['Olfactomedin-like domain']
NUBP2,,
GOLGA6B,,
PTGDR2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
GPR45,,
,['IPR000626'],['Ubiquitin-like domain']
IGFBPL1,"['IPR000867', 'IPR002350', 'IPR003598', 'IPR003599', 'IPR007110', 'IPR013098']","['Insulin-like growth factor-binding protein, IGFBP', 'Kazal domain', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
FLVCR1,['IPR020846'],['Major facilitator superfamily domain']
PRM2,,
F11R,"['IPR003598', 'IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
MYH4,"['IPR001609', 'IPR002928', 'IPR004009']","['Myosin head, motor domain', 'Myosin tail', 'Myosin, N-terminal, SH3-like']"
MAFB,"['IPR004826', 'IPR004827']","['Basic leucine zipper domain, Maf-type', 'Basic-leucine zipper domain']"
FAM186A,,
BTBD17,"['IPR000210', 'IPR011705']","['BTB/POZ domain', 'BTB/Kelch-associated']"
FADS3,['IPR005804'],['Fatty acid desaturase domain']
RAD54B,"['IPR000330', 'IPR001650', 'IPR014001']","['SNF2-related, N-terminal domain', 'Helicase, C-terminal', 'Helicase superfamily 1/2, ATP-binding domain']"
GTF3C3,['IPR013026'],['Tetratricopeptide repeat-containing domain']
DHRS4,,
ERVK-9,"['IPR000328', 'IPR029104']","['Retroviral envelope protein GP41-like', 'Retro-transcribing virus envelope glycoprotein']"
INSL5,['IPR016179'],['Insulin-like']
TMEM161A,,
GPC6,,
OXSM,"['IPR014030', 'IPR014031', 'IPR020841']","['Beta-ketoacyl synthase, N-terminal', 'Beta-ketoacyl synthase, C-terminal', 'Polyketide synthase, beta-ketoacyl synthase domain']"
CORIN,"['IPR001254', 'IPR020067', 'IPR041762', 'IPR041763']","['Serine proteases, trypsin domain', 'Frizzled domain', 'Corin, cysteine-rich domain 1', 'Corin, cysteine-rich domain 2']"
GTF3C5,,
IMPAD1,,
GID8,"['IPR006594', 'IPR006595']","['LIS1 homology motif', 'CTLH, C-terminal LisH motif']"
CHCHD3,"['IPR006594', 'IPR006595']","['LIS1 homology motif', 'CTLH, C-terminal LisH motif']"
MRPL22,,
ZSCAN32,"['IPR003309', 'IPR013087']","['SCAN domain', 'Zinc finger C2H2-type']"
C2orf76,,
OR1F2P,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
LRRD1,,
MC1R,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
METTL23,,
NPIPA3,,
MMP24,"['IPR000585', 'IPR001818', 'IPR002477', 'IPR006026', 'IPR021805', 'IPR033739']","['Hemopexin-like domain', 'Peptidase M10, metallopeptidase', 'Peptidoglycan binding-like', 'Peptidase, metallopeptidase', 'Peptidase M10A, matrix metallopeptidase, C-terminal', 'Peptidase M10A, catalytic domain']"
DMRT2,['IPR001275'],['DM DNA-binding domain']
HEMK1,"['IPR007848', 'IPR040758']","['Methyltransferase small domain', 'Release factor glutamine methyltransferase, N-terminal domain']"
HGH1,['IPR007206'],['Protein HGH1 C-terminal']
CDC42EP3,['IPR000095'],['CRIB domain']
ALDH1B1,['IPR015590'],['Aldehyde dehydrogenase domain']
FUCA2,['IPR031919'],"['Alpha-L-fucosidase, C-terminal']"
C19orf54,['IPR031919'],"['Alpha-L-fucosidase, C-terminal']"
SLC45A4,,
ZNF804B,['IPR022755'],"['Zinc finger, double-stranded RNA binding']"
VPREB3,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
MED29,,
DMRT1,['IPR001275'],['DM DNA-binding domain']
POU2F3,"['IPR000327', 'IPR001356']","['POU-specific domain', 'Homeobox domain']"
TLK1,['IPR000719'],['Protein kinase domain']
NPTN,"['IPR003598', 'IPR003599', 'IPR007110']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain']"
C1orf123,,
TRAPPC1,,
DUS2,"['IPR014720', 'IPR035587']","['Double-stranded RNA-binding domain', 'DUS-like, FMN-binding domain']"
CAVIN4,,
CMTM6,['IPR008253'],['Marvel domain']
ERVK13-1,['IPR000328'],['Retroviral envelope protein GP41-like']
TMEM260,,
GTPBP10,"['IPR006169', 'IPR031167']","['GTP1/OBG domain', 'OBG-type guanine nucleotide-binding (G) domain']"
BABAM1,,
HIST1H2AA,"['IPR007125', 'IPR032454']","['Histone H2A/H2B/H3', 'Histone H2A, C-terminal domain']"
MC2R,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
ALDH3A1,['IPR015590'],['Aldehyde dehydrogenase domain']
MYADML2,['IPR008253'],['Marvel domain']
RFNG,,
TTPAL,"['IPR001251', 'IPR011074']","['CRAL-TRIO lipid binding domain', 'CRAL/TRIO, N-terminal domain']"
CPQ,['IPR007484'],['Peptidase M28']
FAM90A18P,,
GPATCH8,"['IPR000467', 'IPR022755']","['G-patch domain', 'Zinc finger, double-stranded RNA binding']"
CDC42BPB,"['IPR000095', 'IPR000719', 'IPR000961', 'IPR001180', 'IPR001849', 'IPR002219', 'IPR014930', 'IPR020454', 'IPR031597', 'IPR042718']","['CRIB domain', 'Protein kinase domain', 'AGC-kinase, C-terminal', 'Citron homology (CNH) domain', 'Pleckstrin homology domain', 'Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Myotonic dystrophy protein kinase, coiled coil', 'Diacylglycerol/phorbol-ester binding', 'KELK-motif containing domain', 'Serine/threonine-protein kinase MRCK beta, catalytic domain']"
PILRA,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
PILRB,"['IPR003599', 'IPR007110']","['Immunoglobulin subtype', 'Immunoglobulin-like domain']"
PCSK2,"['IPR000209', 'IPR002884', 'IPR032815', 'IPR034182']","['Peptidase S8/S53 domain', 'P domain', 'Peptidase S8, pro-domain', 'Kexin/furin catalytic domain']"
TRPV2,"['IPR005821', 'IPR020683']","['Ion transport domain', 'Ankyrin repeat-containing domain']"
SLC7A1,['IPR029485'],"['Cationic amino acid transporter, C-terminal']"
NDC1,,
CHIC2,['IPR019383'],['Golgin subfamily A member 7/ERF4']
HCFC1R1,,
OR4K3,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
HHIP,"['IPR000742', 'IPR012938', 'IPR018143']","['EGF-like domain', 'Glucose/Sorbosone dehydrogenase', 'Folate receptor-like']"
NOX1,"['IPR013112', 'IPR013121', 'IPR013130']","['FAD-binding 8', 'Ferric reductase, NAD binding domain', 'Ferric reductase transmembrane component-like domain']"
TMEM208,,
ADAM21,"['IPR000742', 'IPR001590', 'IPR001762', 'IPR002870', 'IPR006586', 'IPR034027']","['EGF-like domain', 'Peptidase M12B, ADAM/reprolysin', 'Disintegrin domain', 'Peptidase M12B, propeptide', 'ADAM, cysteine-rich domain', 'Reprolysin domain, adamalysin-type']"
CLN6,,
RBM8A,"['IPR000504', 'IPR033744']","['RNA recognition motif domain', 'RBM8, RNA recognition motif']"
OR4C12,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
NMRK1,,
C2orf42,['IPR029269'],"['Putative treble-clef, zinc-finger domain']"
ACCS,['IPR004839'],"['Aminotransferase, class I/classII']"
GNB3,"['IPR001632', 'IPR017986']","['G-protein, beta subunit', 'WD40-repeat-containing domain']"
NWD1,['IPR007111'],['NACHT nucleoside triphosphatase']
DDX5,"['IPR011545', 'IPR014001', 'IPR014014']","['DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain', 'RNA helicase, DEAD-box type, Q motif']"
OR4F4,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
HRASLS2,['IPR007053'],['LRAT domain']
XPO6,['IPR013598'],['Exportin-1/Importin-beta-like']
OXLD1,['IPR019180'],"['Oxidoreductase-like, N-terminal']"
FRG2B,['IPR019180'],"['Oxidoreductase-like, N-terminal']"
USP16,['IPR028889'],['Ubiquitin specific protease domain']
DNAJC15,['IPR001623'],['DnaJ domain']
SPIN1,,
SOX21,['IPR009071'],['High mobility group box domain']
PARP4,"['IPR012317', 'IPR013694']","['Poly(ADP-ribose) polymerase, catalytic domain', 'VIT domain']"
ADGRG1,"['IPR000203', 'IPR017981', 'IPR040679', 'IPR040950']","['GPS motif', 'GPCR, family 2-like', 'PTX/LNS-Like (PLL) domain', 'GPCR-Autoproteolysis-INducing (GAIN) subdomain A']"
DOHH,,
TBCD,,
MEIS3P1,"['IPR001356', 'IPR008422', 'IPR032453']","['Homeobox domain', 'Homeobox KN domain', 'Homeobox protein PKNOX/Meis, N-terminal']"
NXT1,"['IPR002075', 'IPR018222']","['Nuclear transport factor 2', 'Nuclear transport factor 2, eukaryote']"
PCDH15,"['IPR002126', 'IPR041149']","['Cadherin-like', 'Extracellular cadherin domain']"
ALKBH6,"['IPR005123', 'IPR027450']","['Oxoglutarate/iron-dependent dioxygenase', 'Alpha-ketoglutarate-dependent dioxygenase AlkB-like']"
SHPRH,"['IPR000330', 'IPR001650', 'IPR001841', 'IPR001965', 'IPR014001']","['SNF2-related, N-terminal domain', 'Helicase, C-terminal', 'Zinc finger, RING-type', 'Zinc finger, PHD-type', 'Helicase superfamily 1/2, ATP-binding domain']"
WBP1L,"['IPR000330', 'IPR001650', 'IPR001841', 'IPR001965', 'IPR014001']","['SNF2-related, N-terminal domain', 'Helicase, C-terminal', 'Zinc finger, RING-type', 'Zinc finger, PHD-type', 'Helicase superfamily 1/2, ATP-binding domain']"
XBP1,['IPR004827'],['Basic-leucine zipper domain']
ASB6,"['IPR001496', 'IPR020683', 'IPR037327']","['SOCS box domain', 'Ankyrin repeat-containing domain', 'Ankyrin repeat and SOCS box protein 6, SOCS box domain']"
SYBU,,
THG1L,"['IPR024956', 'IPR025845']","['tRNAHis guanylyltransferase catalytic domain', 'Thg1 C-terminal domain']"
NUDT5,"['IPR000086', 'IPR020476']","['NUDIX hydrolase domain', 'NUDIX hydrolase']"
PHF12,"['IPR000253', 'IPR001965', 'IPR019787']","['Forkhead-associated (FHA) domain', 'Zinc finger, PHD-type', 'Zinc finger, PHD-finger']"
ZNF705E,"['IPR000253', 'IPR001965', 'IPR019787']","['Forkhead-associated (FHA) domain', 'Zinc finger, PHD-type', 'Zinc finger, PHD-finger']"
ABCA5,,
FAM90A22P,,
OIT3,"['IPR000742', 'IPR001507', 'IPR001881']","['EGF-like domain', 'Zona pellucida domain', 'EGF-like calcium-binding domain']"
ARHGAP11B,['IPR000198'],['Rho GTPase-activating protein domain']
PFKL,['IPR000023'],['Phosphofructokinase domain']
OR14A2,,
EDARADD,['IPR000488'],['Death domain']
TRPM7,['IPR032415'],"['TRPM, tetramerisation domain']"
ABCA10,['IPR003439'],['ABC transporter-like']
PRM1,['IPR003439'],['ABC transporter-like']
ALG12,,
EFHD1,['IPR002048'],['EF-hand domain']
ZNF677,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
HTATIP2,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
SLC39A10,,
NANOS1,,
QPCTL,"['IPR007484', 'IPR037457']","['Peptidase M28', 'M28 Zn-Peptidase Glutaminyl Cyclase']"
BARHL2,['IPR001356'],['Homeobox domain']
KLHL28,"['IPR000210', 'IPR011705']","['BTB/POZ domain', 'BTB/Kelch-associated']"
SCN3A,"['IPR005821', 'IPR010526', 'IPR024583']","['Ion transport domain', 'Sodium ion transport-associated', 'Voltage-gated Na+ ion channel, cytoplasmic domain']"
CACNA2D2,"['IPR002035', 'IPR013608', 'IPR013680']","['von Willebrand factor, type A', 'VWA N-terminal', 'Voltage-dependent calcium channel, alpha-2/delta subunit, conserved region']"
RNF222,"['IPR001841', 'IPR027370']","['Zinc finger, RING-type', 'RING-type zinc-finger, LisH dimerisation motif']"
ADAMTS14,"['IPR001590', 'IPR002870', 'IPR006586', 'IPR010294', 'IPR010909', 'IPR041645']","['Peptidase M12B, ADAM/reprolysin', 'Peptidase M12B, propeptide', 'ADAM, cysteine-rich domain', 'ADAM-TS Spacer 1', 'PLAC', 'ADAM cysteine-rich domain 2']"
CACNG8,,
SPRR2F,,
BAALC,,
TMEM37,,
VPS37D,['IPR009851'],"['Modifier of rudimentary, Modr']"
FAM83G,['IPR012461'],"['FAM83, N-terminal']"
KIAA1257,['IPR012461'],"['FAM83, N-terminal']"
EMC10,,
TMEM219,['IPR039587'],['TMEM248/TMEM219 domain']
INO80,"['IPR000330', 'IPR001650', 'IPR020838']","['SNF2-related, N-terminal domain', 'Helicase, C-terminal', 'DBINO domain']"
DNAAF5,['IPR034085'],['TOG domain']
CCPG1,,
TRIM50,"['IPR000315', 'IPR001841', 'IPR001870']","['B-box-type zinc finger', 'Zinc finger, RING-type', 'B30.2/SPRY domain']"
ZNF586,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
SESN1,,
OBP2A,['IPR000566'],['Lipocalin/cytosolic fatty-acid binding domain']
STK32B,['IPR000719'],['Protein kinase domain']
KRTAP9-6,,
SMPD3,['IPR005135'],['Endonuclease/exonuclease/phosphatase']
PPIAL4C,,
CCDC28B,,
BBX,['IPR009071'],['High mobility group box domain']
VPS13A,"['IPR015412', 'IPR026854', 'IPR031642', 'IPR031645', 'IPR031646']","['Autophagy-related, C-terminal', 'Vacuolar protein sorting-associated protein 13, N-terminal domain', 'VPS13, repeated coiled region', 'Vacuolar protein sorting-associated protein 13, C-terminal', 'Vacuolar protein sorting-associated protein 13, second N-terminal domain']"
MTRNR2L11,,
SIGLEC11,"['IPR003598', 'IPR003599', 'IPR007110', 'IPR013098', 'IPR013106']","['Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set', 'Immunoglobulin V-set domain']"
MYO3B,"['IPR000719', 'IPR001609', 'IPR036083']","['Protein kinase domain', 'Myosin head, motor domain', 'Class III myosin, motor domain']"
UIMC1,['IPR040714'],"['RAP80, N-terminal']"
DERL1,,
CAPN6,"['IPR000008', 'IPR022683', 'IPR033883']","['C2 domain', 'Peptidase C2, calpain, domain III', 'Calpain subdomain III']"
ZFP37,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
STON1-GTF2A1L,"['IPR012320', 'IPR028565']","['Stonin homology', 'Mu homology domain']"
NKX2-6,"['IPR001356', 'IPR020479']","['Homeobox domain', 'Homeobox domain, metazoa']"
KIDINS220,"['IPR011646', 'IPR020683']","['KAP family P-loop domain', 'Ankyrin repeat-containing domain']"
C1orf56,,
C2orf72,,
OR14I1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MBLAC1,['IPR001279'],['Metallo-beta-lactamase']
LRFN2,"['IPR000483', 'IPR003598', 'IPR003599', 'IPR003961', 'IPR007110', 'IPR013098']","['Cysteine-rich flanking region, C-terminal', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Fibronectin type III', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
NCOA3,"['IPR000014', 'IPR011598', 'IPR013767', 'IPR014920', 'IPR014935']","['PAS domain', 'Myc-type, basic helix-loop-helix (bHLH) domain', 'PAS fold', 'Nuclear receptor coactivator, Ncoa-type, interlocking', 'Nuclear receptor coactivator, receptor-binding domain']"
RNF130,"['IPR001841', 'IPR003137']","['Zinc finger, RING-type', 'PA domain']"
KRT73,['IPR039008'],"['Intermediate filament, rod domain']"
ASAP1,"['IPR001164', 'IPR001452', 'IPR001849', 'IPR020683', 'IPR037844', 'IPR037928', 'IPR038016']","['Arf GTPase activating protein', 'SH3 domain', 'Pleckstrin homology domain', 'Ankyrin repeat-containing domain', 'ASAP, PH domain', 'ASAP1, BAR domain', 'ASAP1, SH3 domain']"
ANGPTL5,['IPR002181'],"['Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain']"
AP1M2,['IPR028565'],['Mu homology domain']
MKL2,,
AATF,['IPR012617'],"['Apoptosis-antagonizing transcription factor, C-terminal']"
TNFRSF11A,"['IPR001368', 'IPR034040', 'IPR041648']","['TNFR/NGFR cysteine-rich region', 'Tumor necrosis factor receptor 11A, N-terminal', 'Rank, cysteine-rich repeat domain 2']"
PMS2P1,"['IPR001368', 'IPR034040', 'IPR041648']","['TNFR/NGFR cysteine-rich region', 'Tumor necrosis factor receptor 11A, N-terminal', 'Rank, cysteine-rich repeat domain 2']"
SLC2A8,['IPR020846'],['Major facilitator superfamily domain']
TUBA8,"['IPR003008', 'IPR018316']","['Tubulin/FtsZ, GTPase domain', 'Tubulin/FtsZ, 2-layer sandwich domain']"
ARL15,,
BBS4,,
CPA5,"['IPR000834', 'IPR003146', 'IPR034248']","['Peptidase M14, carboxypeptidase A', 'Carboxypeptidase, activation peptide', 'Carboxypeptidase A, carboxypeptidase domain']"
CIC,['IPR009071'],['High mobility group box domain']
LINC01599,['IPR009071'],['High mobility group box domain']
SORCS1,"['IPR000601', 'IPR006581', 'IPR031777', 'IPR031778']","['PKD domain', 'VPS10', 'Sortilin, C-terminal', 'Sortilin, N-terminal']"
BRI3BP,,
CITED4,,
BAGE2,,
SLC4A4,"['IPR011531', 'IPR013769']","['Bicarbonate transporter, C-terminal', 'Band 3 cytoplasmic domain']"
MAP3K4,['IPR000719'],['Protein kinase domain']
NWD2,"['IPR007111', 'IPR017986']","['NACHT nucleoside triphosphatase', 'WD40-repeat-containing domain']"
G6PC3,['IPR000326'],['Phosphatidic acid phosphatase type 2/haloperoxidase']
ATAD2B,"['IPR001487', 'IPR003593', 'IPR003959']","['Bromodomain', 'AAA+ ATPase domain', 'ATPase, AAA-type, core']"
TRUB2,"['IPR001487', 'IPR003593', 'IPR003959']","['Bromodomain', 'AAA+ ATPase domain', 'ATPase, AAA-type, core']"
FERD3L,"['IPR001487', 'IPR003593', 'IPR003959']","['Bromodomain', 'AAA+ ATPase domain', 'ATPase, AAA-type, core']"
NUMBL,"['IPR006020', 'IPR010449']","['PTB/PI domain', 'NUMB domain']"
LONRF3,"['IPR003111', 'IPR013026']","['Lon, substrate-binding domain', 'Tetratricopeptide repeat-containing domain']"
CEP57,"['IPR024957', 'IPR025913']","['Cep57 centrosome microtubule-binding domain', 'Cep57 centrosome localisation domain']"
XYLT1,['IPR024448'],"['Xylosyltransferase, C-terminal']"
KIF26A,['IPR001752'],['Kinesin motor domain']
CACUL1,['IPR001752'],['Kinesin motor domain']
TICAM2,['IPR000157'],['Toll/interleukin-1 receptor homology (TIR) domain']
CCDC61,['IPR000157'],['Toll/interleukin-1 receptor homology (TIR) domain']
HEG1,"['IPR000742', 'IPR001881']","['EGF-like domain', 'EGF-like calcium-binding domain']"
RIMKLB,['IPR013651'],"['ATP-grasp fold, RimK-type']"
PRIMA1,['IPR013651'],"['ATP-grasp fold, RimK-type']"
ZNF780B,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
ADGRG3,"['IPR000203', 'IPR017981']","['GPS motif', 'GPCR, family 2-like']"
CDC20B,['IPR017986'],['WD40-repeat-containing domain']
FAM129C,['IPR001849'],['Pleckstrin homology domain']
SCN3B,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
KCTD5,"['IPR000210', 'IPR003131']","['BTB/POZ domain', 'Potassium channel tetramerisation-type BTB domain']"
FCGBP,"['IPR000742', 'IPR001007', 'IPR001846', 'IPR002919', 'IPR003645', 'IPR014853', 'IPR025615', 'IPR035234']","['EGF-like domain', 'VWFC domain', 'von Willebrand factor, type D domain', 'Trypsin Inhibitor-like, cysteine rich domain', 'Follistatin-like, N-terminal', 'Uncharacterised domain, cysteine-rich', 'TILa domain', 'IgGFc-binding protein, N-terminal']"
ETAA1,,
CDKN2AIP,,
RPP25,['IPR002775'],['DNA/RNA-binding protein Alba-like']
NDUFA11,,
ECD,,
TNFRSF13C,['IPR015336'],"['Tumour necrosis factor receptor 13C, TALL-1 binding domain']"
PDCD10,,
SLC16A8,['IPR020846'],['Major facilitator superfamily domain']
PHF23,,
TAAR1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
BDH2,,
RND2,['IPR005225'],['Small GTP-binding protein domain']
ADI1,,
OAS3,"['IPR002934', 'IPR006116', 'IPR018952']","['Polymerase, nucleotidyl transferase domain', '2-5OAS/ClassI-CCAase, nucleotidyltransferase domain', ""2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal""]"
NRXN1,"['IPR000742', 'IPR001791', 'IPR003585', 'IPR027789']","['EGF-like domain', 'Laminin G domain', 'Neurexin/syndecan/glycophorin C', 'Syndecan/Neurexin domain']"
DNMT3A,"['IPR000313', 'IPR025766', 'IPR040552']","['PWWP domain', 'ADD domain', 'DNMT3, cysteine rich ADD domain']"
CEPT1,,
ERGIC2,['IPR012936'],"['Endoplasmic reticulum vesicle transporter, C-terminal']"
RAB40C,"['IPR001496', 'IPR005225']","['SOCS box domain', 'Small GTP-binding protein domain']"
CDH7,"['IPR000233', 'IPR002126']","['Cadherin, cytoplasmic domain', 'Cadherin-like']"
CDH9,"['IPR000233', 'IPR002126']","['Cadherin, cytoplasmic domain', 'Cadherin-like']"
PIBF1,,
MCCC1,"['IPR000089', 'IPR005479', 'IPR005481', 'IPR005482', 'IPR011761']","['Biotin/lipoyl attachment', 'Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain', 'Biotin carboxylase-like, N-terminal domain', 'Biotin carboxylase, C-terminal', 'ATP-grasp fold']"
PIGBOS1,"['IPR000089', 'IPR005479', 'IPR005481', 'IPR005482', 'IPR011761']","['Biotin/lipoyl attachment', 'Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain', 'Biotin carboxylase-like, N-terminal domain', 'Biotin carboxylase, C-terminal', 'ATP-grasp fold']"
IKBKG,"['IPR021063', 'IPR032419', 'IPR034735']","['NF-kappa-B essential modulator NEMO, N-terminal', 'NF-kappa-B essential modulator NEMO, CC2-LZ domain', 'NEMO, Zinc finger']"
AK5,,
IL4I1,['IPR002937'],['Amine oxidase']
OR2H2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
FRAS1,"['IPR000742', 'IPR001007', 'IPR003644']","['EGF-like domain', 'VWFC domain', 'Na-Ca exchanger/integrin-beta4']"
VAMP8,['IPR042855'],"['v-SNARE, coiled-coil homology domain']"
CRYBA1,['IPR001064'],['Beta/gamma crystallin']
DUSP26,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
TTLL1,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
KIF18B,['IPR001752'],['Kinesin motor domain']
THUMPD3,"['IPR000241', 'IPR004114']","['Putative RNA methylase domain', 'THUMP domain']"
CSN2,,
SLCO1B1,['IPR002350'],['Kazal domain']
RAB23,['IPR005225'],['Small GTP-binding protein domain']
OR6C74,,
KMT5C,['IPR001214'],['SET domain']
EMCN,,
PADI1,"['IPR013530', 'IPR013732', 'IPR013733']","['Protein-arginine deiminase, C-terminal', 'Protein-arginine deiminase (PAD) N-terminal', 'Protein-arginine deiminase (PAD), central domain']"
